commune_id,name,area_km2
1,Aarab Sebbah Gheris,105.52783061028458
2,Aarab Sebbah Ziz,105.44904591632076
3,Abadou,105.3221576618962
4,Abaynou,108.0634045205079
5,Abdelghaya Souahel,101.55947453598492
6,Abou Lakhal,104.53505736828083
7,Abteh,109.23433096986264
8,Adaghas,106.10851788287982
9,Adar,106.91207734076306
10,Adassil,105.83532565971836
11,Aday,107.93436934892088
12,Adis,107.56099536176771
13,Adrej,102.94572461792268
14,Afalla Issen,105.95292319729924
15,Afella Ighir,107.5538086653687
16,Afella N'Dra,106.2070420878008
17,Aferkat,108.47980385506526
18,Afourar,104.6433205571957
19,Afra,106.2077359680552
20,Afsou,101.51768679404631
21,Agadir,106.63102411618456
22,Agadir Melloul,106.82015624875203
23,Agafay,105.4685428570956
24,Agdz,106.32527433196083
25,Aghbal,101.37061556684785
26,Aghbala,104.39070344204083
27,Aghbalou,104.10047909710556
28,Aghbalou Aqorar,102.64821194205433
29,Aghbalou N'Kerdous,105.23486713203602
30,Aghbar,106.0920336493291
31,Aghouatim,105.57506763748825
32,Aghouinite,114.26267816592008
33,Aglif,105.89718100707978
34,Agoudi N'Lkhair,104.88992523960769
35,Agoudim,104.4347627395764
36,Agourai,102.95548755978234
37,Aguelmam Azegza,103.7891091699712
38,Aguelmouss,103.55157966678962
39,Aguerd,105.52309253718704
40,Aguinane,106.97173922136426
41,Ahdil,105.30618046363816
42,Ahermoumou,102.73676781449467
43,Ahfir,101.35267419670708
44,Ahl Angad,101.67460001865402
45,Ahl Oued Za,102.16388239734806
46,Ahl Ramel,106.77744751656428
47,Ahl Sidi Lahcen,102.79501835186966
48,Ahl Tifnoute,106.0340655152686
49,Ahlaf,103.37950086873025
50,Ahmar Laglalcha,106.55794619908556
51,Ain Bida,102.53318359539844
52,Ain Blal,104.25648387894034
53,Ain Bni Mathar,102.49436550866812
54,Ain Bou Ali,102.35970642440952
55,Ain Chair,104.61404597316869
56,Ain Cheggag,102.67872364842333
57,Ain Chkef,102.56024204194546
58,Ain Dfali,101.77823120285757
59,Ain Dorbane-Lahlaf,103.67326253000647
60,Ain El Aouda,102.75499943550676
61,Ain Harrouda,102.9442377043888
62,Ain Jemaa,102.4221814412158
63,Ain Johra-Sidi Boukhalkhal,102.49915225338191
64,Ain Kaicher,103.97926079528406
65,Ain Kansra,102.38063585595228
66,Ain Karma-Oued Rommane,102.43403414264321
67,Ain Lahcen,100.59585455968045
68,Ain Legdah,102.31052784644999
69,Ain Lehjer,101.91243490588386
70,Ain Maatouf,102.00729815219529
71,Ain Mediouna,101.92765890317969
72,Ain Sbit,103.12729712203145
73,Ain Sfa,101.58649887610227
74,Ain Taoujdate,102.59249676414765
75,Ain Tazitounte,105.8735571699217
76,Ain Timguenai,102.67171294498257
77,Ain Tizgha,102.9347473247908
78,Ait Aadel,105.3245823434554
79,Ait Abdellah,107.28028315631673
80,Ait Aissi Ihahane,106.09758791839704
81,Ait Ali Ou Lahcen,102.48019430041313
82,Ait Amira,106.92262099450454
83,Ait Ammar,103.662921291776
84,Ait Ayach,104.07205286668614
85,Ait Baha,107.0144102871418
86,Ait Bazza,103.23647847864777
87,Ait Belkacem,102.72370340488851
88,Ait Ben Yacoub,103.70757233863696
89,Ait Blal,105.23416133178398
90,Ait Bou Oulli,105.36115394020453
91,Ait Boubidmane,102.69752742256969
92,Ait Boudaoud,106.42047758540139
93,Ait Boufoulen,107.90254619717598
94,Ait Bouyahya El Hajjama,102.66701009171084
95,Ait Daoud,105.88827404566109
96,Ait El Man,103.17678284039721
97,Ait Erkha,107.78632782772183
98,Ait Faska,105.38828436098993
99,Ait Haddou Youssef,106.11718981480226
100,Ait Hadi,105.56015865085647
101,Ait Hammou,104.62071819603443
102,Ait Harz Allah,102.8225507712923
103,Ait Hkim - Ait Yzid,105.45666469074786
104,Ait Iaaza,106.54244157951325
105,Ait Ichou,103.07813008641824
106,Ait Igas,106.45004235161468
107,Ait Ikkou,102.93220195593312
108,Ait Imour,105.37961394479498
109,Ait Issafen,107.54869127785787
110,Ait Izdeg,104.11876881774515
111,Ait M'Hamed,105.03271440789104
112,Ait Mait,101.20063522993587
113,Ait Makhlouf,106.42763674026355
114,Ait Malek,102.57765056518838
115,Ait Mazigh,104.85803544288501
116,Ait Melloul,106.72135076206177
117,Ait Milk,107.13693898357451
118,Ait Mimoune,102.92127163335681
119,Ait Mzal,107.05114178312942
120,Ait Naamane,102.91110902209766
121,Ait Ouaarda,104.70508584519848
122,Ait Ouabelli,108.0008789896965
123,Ait Ouadrim,107.06916583841667
124,Ait Ouafqa,107.72077553393319
125,Ait Ouallal,106.12408031034283
126,Ait Ouallal,102.68919143429957
127,Ait Ouassif,105.66994716902263
128,Ait Ouikhalfen,102.97679407219402
129,Ait Oullal Bitit,102.73010577680543
130,Ait Oum El Bekht,104.11101430817507
131,Ait Oumdis,105.44663108279929
132,Ait Ouqabli,104.49931110837497
133,Ait Ouribel,102.79294130206108
134,Ait Ourir,105.36533218529075
135,Ait Saadelli,104.14569961722009
136,Ait Said,105.50597989046946
137,Ait Sebaa Lajrouf,102.83294276241213
138,Ait Sedrate Jbel El Oulia,105.27482140413485
139,Ait Sedrate Jbel El Soufla,105.42261557630263
140,Ait Sedrate Sahl Charkia,105.80009503639303
141,Ait Sedrate Sahl El Gharbia,105.89516138518229
142,Ait Siberne,102.69999451935291
143,Ait Sidi Daoud,105.31042893603444
144,Ait Taguella,104.94074494903907
145,Ait Taleb,104.4262085496448
146,Ait Tamlil,105.45301547879353
147,Ait Yaazem,102.82436882099137
148,Ait Yadine,102.58030838868581
149,Ait Yahya,104.57684775977395
150,Ait Youl,105.64652410964482
151,Ait Zineb,105.9946514503099
152,Ajdir,101.57902751513757
153,Ajdir,101.05061714514159
154,Akarma,104.98146799346432
155,Akhfennir,109.2447912353091
156,Akka,107.7947450298816
157,Akka Ighane,107.12699808180332
158,Aklim,101.4386539447587
159,Aknoul,101.72292881575413
160,Al Aioun,101.81526481022593
161,Al Aroui,101.2690978468163
162,Al Bahraoyine,100.34935305756517
163,Al Barkanyene,101.22453684930224
164,Al Hamra,100.86128414026462
165,Al Haouafate,101.9562404975295
166,Al Hoceïma,101.00221654726192
167,Al Khalfia,104.24619929026812
168,Al Kharroub,100.79147619870491
169,Al Machouar Stinia,102.65348086110316
170,Al Mahbass,109.61773006571457
171,Al Manzla,100.61108081554994
172,Al Oued,100.96615490713157
